key,ru,en,zh,hi,es
processing_generation,Обрабатываю изображение и запускаю генерацию…,I process the image and start generating...,我处理图像并开始生成……,मैं छवि को संसाधित करता हूं और जनरेट करना शुरू करता हूं...,Proceso la imagen y empiezo a generar...
profile_line_balance_credits,Кредиты (генерации): {balance},Credits (generation): {balance},积分（生成）：{余额},क्रेडिट (उत्पादन): {शेष राशि},Créditos (generación): {saldo}
profile_line_balance_money,Денежный баланс: {balance} ₽,Cash balance: {balance} ₽,现金余额：{balance} ₽,नकद शेष: {शेष} ₽,Saldo en efectivo: {balance} ₽
profile_line_created,Создан: {created},Created: {created},创建时间：{created},निर्मित: {निर्मित},Creado: {creado}
profile_line_id,ID: {user_id},ID: {user_id},ID：{user_id},आईडी: {user_id},Identificación: {user_id}
profile_line_lang,Текущий язык: {lang},Current language: {lang},当前语言：{lang},वर्तमान भाषा: {lang},Idioma actual: {lang}
profile_line_last_seen,Последняя активность: {last_seen},Last seen: {last_seen},最后上线时间：{last_seen},अंतिम बार देखा गया: {last_seen},Última vez visto: {last_seen}
profile_line_txn,Успешных пополнений: {count} шт. на сумму {sum} {cur},Successful top-ups: {count} pcs. for the amount of {sum} {cur},充值成功次数：{count} 次，金额为 {sum} {cur},"सफल टॉप-अप: {count} पीस, {sum} {cur} की राशि के लिए",Recargas exitosas: {count} uds. por un monto de {sum} {cur}
profile_line_user,Username: @{username},Username: @{username},用户名：@{username},उपयोगकर्ता नाम: @{username},Nombre de usuario: @{nombre de usuario}
profile_not_found,"Профиль ещё не создан. Напишите /start, чтобы начать.",Your profile hasn't been created yet. Type /start to get started.,您的个人资料尚未创建。输入 /start 开始创建。,आपकी प्रोफ़ाइल अभी तक नहीं बनी है। शुरू करने के लिए /start टाइप करें।,Tu perfil aún no se ha creado. Escribe /start para empezar.
profile_title,Ваш профиль,Your profile,您的个人资料,आपकी प्रोफ़ाइल,Tu perfil
prompt_upload_flat,"Загрузите фотографию одежды на нейтральном фоне. Одежда может
лежать или висеть.
Рекомендуем обрезать фотографию так, чтобы на ней оставалась только одежда,
которую хотите надеть на модель. 

Отправьте изображение <b>как документ</b>, чтобы сохранить качество.","Upload a photo of the clothing against a neutral background. The clothing can be either lying down or hanging.
We recommend cropping the photo to include only the clothing you want the model to wear.

Submit the image <b>as a document</b> to preserve quality.","上传一张服装在纯色背景下的照片。服装可以平铺或悬挂。

我们建议您裁剪照片，只保留您希望模特穿着的服装部分。

请将图片<b>以文档形式</b>提交，以保证图片质量。","कपड़ों की एक ऐसी तस्वीर अपलोड करें जिसमें वे किसी सादे बैकग्राउंड के सामने हों। कपड़े लेटे हुए या लटके हुए हो सकते हैं।
हमारा सुझाव है कि तस्वीर को क्रॉप करके केवल वही कपड़े शामिल करें जिन्हें आप मॉडल को पहनाना चाहते हैं।

गुणवत्ता बनाए रखने के लिए छवि को <b>दस्तावेज़</b> के रूप में सबमिट करें।","Sube una foto de la prenda sobre un fondo neutro. La prenda puede estar estirada o colgada.
Recomendamos recortar la foto para que incluya solo la ropa que quieres que use la modelo.

Envía la imagen como documento para preservar la calidad."
prompt_upload_on_mannequin,"ВАЖНО: На фото не должно быть головы маникена. Рекомендуем
обрезать фотографию так, чтобы на ней оставалась только одежда, которую хотите
надеть на модель. 

Отправьте изображение <b>как документ</b>, чтобы сохранить качество.","IMPORTANT: The photo must not include the mannequin's head. We recommend cropping the photo to include only the clothing you want to put on the model.

Submit the image <b>as a document</b> to preserve quality.","重要提示：照片中不得包含模特的头部。我们建议您裁剪照片，仅保留您希望模特穿着的服装部分。

请将图片<b>以文档形式</b>提交，以保证图片质量。","महत्वपूर्ण: फोटो में मैनीकिन का सिर नहीं दिखना चाहिए। हमारा सुझाव है कि फोटो को क्रॉप करके केवल वही कपड़े शामिल करें जो आप मॉडल को पहनाना चाहते हैं।

गुणवत्ता बनाए रखने के लिए इमेज को <b>दस्तावेज़</b> के रूप में सबमिट करें।","IMPORTANTE: La foto no debe incluir la cabeza del maniquí. Recomendamos recortar la foto para que incluya solo la ropa que desea que lleve la modelo.

Envíe la imagen como documento para preservar la calidad."
prompt_upload_on_person,"ВАЖНО: На фото не должно быть лиц и голов людей. Рекомендуем
обрезать фотографию так, чтобы на ней оставалась только одежда, которую хотите
надеть на модель. 

Отправьте изображение <b>как документ</b>, чтобы сохранить качество.","IMPORTANT: The photo should not contain people's faces or heads. We recommend cropping the photo to include only the clothing you want the model to wear.

Submit the image <b>as a document</b> to preserve quality.","重要提示：照片中不应包含人脸或头部。我们建议您裁剪照片，仅保留您希望模特穿着的服装部分。

请将图片<b>以文档形式</b>提交，以保证图片质量。","महत्वपूर्ण: फोटो में लोगों के चेहरे या सिर नहीं होने चाहिए। हमारा सुझाव है कि फोटो को क्रॉप करके केवल वही कपड़े शामिल करें जो आप मॉडल को पहनाना चाहते हैं।

गुणवत्ता बनाए रखने के लिए इमेज को <b>दस्तावेज़</b> के रूप में सबमिट करें।","IMPORTANTE: La foto no debe mostrar rostros ni cabezas de personas. Recomendamos recortar la foto para que incluya solo la ropa que desea que use la modelo.

Envíe la imagen como documento para preservar la calidad."
rear_view_prompt,Загрузите фото этой вещи сзади,Upload a photo of the back of this item,请上传此物品背面的照片,इस वस्तु के पीछे की तस्वीर अपलोड करें,Sube una foto de la parte posterior de este artículo.
redo_question,Хотите переделать фото?,Want to remake a photo?,想重拍一张照片吗？,क्या आप किसी फोटो को दोबारा बनाना चाहते हैं?,¿Quieres rehacer una foto?
scenario_back_view,Ракурс сзади,Rear view,后视图,पीछे देखना,Vista trasera
scenario_change_angle,Смена ракурса,Change of perspective,视角转变,नजरिए में बदलाव,Cambio de perspectiva
scenario_change_pose,Смена позы,Change of pose,姿势变化,मुद्रा में परिवर्तन,Cambio de pose
scenario_full_body,Кадр в полный рост,Full-length shot,全身镜头,पूर्ण लंबाई वाला शॉट,Toma de cuerpo entero
scenario_initial_generation,Базовая генерация примерочного кадра,Basic generation of a sample frame,样本帧的基本生成,सैंपल फ्रेम का मूल निर्माण,Generación básica de un marco de muestra
scenario_lower_body,Кадр по нижнюю часть тела,Lower body shot,下半身镜头,शरीर के निचले हिस्से का शॉट,Disparo a la parte inferior del cuerpo
scenario_regenerate_new,Повторная генерация с новыми настройками,Re-generation with new settings,使用新设置进行再生,नई सेटिंग्स के साथ पुनर्जनन,Regeneración con nuevas configuraciones
scenario_regenerate_same,Повторная генерация с теми же настройками,Re-generation with the same settings,使用相同的设置重新生成,समान सेटिंग्स के साथ पुनर्जनन,Regeneración con la misma configuración
scenario_upper_body,Кадр по верхнюю часть тела,Upper body shot,上半身镜头,ऊपरी शरीर का शॉट,Toma de la parte superior del cuerpo
send_photo_prompt,"Отправьте, пожалуйста, фото вещи.

Подходит: одежда на человеке, манекене или вешалке, главное — чтобы сама вещь была хорошо видна.","Please send a photo of the item.

Suitable: the item should be on a person, a mannequin, or a hanger; the main thing is that the item itself is clearly visible.","请发送商品照片。

要求：商品应展示在真人、模特或衣架上；最重要的是，商品本身要清晰可见。","कृपया वस्तु की एक तस्वीर भेजें।

उपयुक्त: वस्तु किसी व्यक्ति, पुतले या हैंगर पर होनी चाहिए; मुख्य बात यह है कि वस्तु स्पष्ट रूप से दिखाई दे।","Por favor, envíe una foto del artículo.

Adecuado: el artículo debe estar colgado en una persona, un maniquí o una percha; lo importante es que sea claramente visible."
settings_age_title,Выберите возраст модели:,Select model age:,选择模特年龄：,मॉडल की आयु चुनें:,Seleccionar edad del modelo:
settings_aspect_title,"Выберите одно или несколько соотношений сторон.
Все фотографии создаются в разрешении 4K. Варианты:
- 3:4 - 3072x4096 пикселей. Самый распространенный для e-commerce, маркетплейсов,
например WildBerries и Ozon
- 9:16 - 2304x4096 пикселей. Идеально для «историй» в соц. сетях.
- 1:1 - 4096x4096 пикселей. Квадратное фото с самым высоким разрешением.
- 16:9 - 4096x2304 пикселей. Широкий формат, как в кинотеатрах.","Select one or more aspect ratios.

All photos are created in 4K resolution. Options:

- 3:4 - 3072x4096 pixels. Most common for e-commerce and marketplaces,
for example, WildBerries and Ozon.

- 9:16 - 2304x4096 pixels. Ideal for social media stories.

- 1:1 - 4096x4096 pixels. A square photo with the highest resolution.

- 16:9 - 4096x2304 pixels. Widescreen format, like in movie theaters.","选择一种或多种宽高比。

所有照片均以 4K 分辨率拍摄。选项：

- 3:4 - 3072x4096 像素。最常用于电商平台和市场，

例如 WildBerries 和 Ozon。

- 9:16 - 2304x4096 像素。非常适合社交媒体快拍。

- 1:1 - 4096x4096 像素。最高分辨率的正方形照片。

- 16:9 - 4096x2304 像素。宽屏格式，例如电影院的放映格式。","एक या अधिक आस्पेक्ट रेशियो चुनें।

सभी फ़ोटो 4K रिज़ॉल्यूशन में बनाई जाती हैं। विकल्प:

- 3:4 - 3072x4096 पिक्सल। ई-कॉमर्स और मार्केटप्लेस के लिए सबसे आम,
उदाहरण के लिए, WildBerries और Ozon।

- 9:16 - 2304x4096 पिक्सल। सोशल मीडिया स्टोरीज़ के लिए आदर्श।

- 1:1 - 4096x4096 पिक्सल। उच्चतम रिज़ॉल्यूशन वाली वर्गाकार फ़ोटो।

- 16:9 - 4096x2304 पिक्सल। वाइडस्क्रीन फ़ॉर्मेट, जैसे सिनेमाघरों में।","Seleccione una o más relaciones de aspecto.

Todas las fotos se crean en resolución 4K. Opciones:

- 3:4 - 3072x4096 píxeles. El formato más común para comercio electrónico y plataformas de venta, como WildBerries y Ozon.

- 9:16 - 2304x4096 píxeles. Ideal para historias en redes sociales.

- 1:1 - 4096x4096 píxeles. Foto cuadrada con la máxima resolución.

- 16:9 - 4096x2304 píxeles. Formato panorámico, similar al de las salas de cine."
settings_background_title,"Выберите цвет фона для создания фото вашей вещи на модели.

Важно: выбор фона влияет на итоговый вид фото.","Select a background color for your photo of your item on a model.

Important: Your background choice affects the final appearance of the photo.","请为您的商品模特照片选择背景颜色。

重要提示：您选择的背景颜色会影响照片的最终效果。","मॉडल पर अपने उत्पाद की तस्वीर के लिए पृष्ठभूमि का रंग चुनें।

महत्वपूर्ण: आपके द्वारा चुना गया पृष्ठभूमि रंग तस्वीर के अंतिम स्वरूप को प्रभावित करेगा।","Selecciona un color de fondo para la foto de tu artículo en un modelo.

Importante: La elección del fondo afecta el aspecto final de la foto."
settings_gender_title,Выберите пол модели:,Select model gender:,选择模特性别：,मॉडल का लिंग चुनें:,Seleccione el género del modelo:
settings_hair_title,"Выберите один или несколько цветов волос модели.
ВАЖНО: Выбор нескольких вариантов в нескольких пунктах перемножает количество
фото. Например, если вы выбрали белый и бежевый фон + светлые и темные волосы = 4
фото:
- Белый фон + светлые волосы

- Белый фон + темные волосы

- Бежевый фон + светлые волосы

- Бежевый фон + темные волосы","Select one or more hair colors for the model.
IMPORTANT: Selecting multiple options in multiple sections multiplies the number of
photos. For example, if you selected a white and beige background + light and dark hair = 4
photos:
- White background + light hair

- White background + dark hair

- Beige background + light hair

- Beige background + dark hair","请为模特选择一种或多种发色。

重要提示：在多个选项中选择多个选项会增加照片数量。

例如，如果您选择了白色和米色背景 + 浅色和深色头发 = 4 张

照片：

- 白色背景 + 浅色头发

- 白色背景 + 深色头发

- 米色背景 + 浅色头发

- 米色背景 + 深色头发","मॉडल के लिए एक या अधिक बालों के रंग चुनें।
महत्वपूर्ण: कई सेक्शन में एक से अधिक विकल्प चुनने से फ़ोटो की संख्या कई गुना बढ़ जाती है।
उदाहरण के लिए, यदि आपने सफ़ेद और बेज रंग की पृष्ठभूमि + हल्के और गहरे रंग के बाल चुने हैं, तो 4 फ़ोटो बनेंगी:
- सफ़ेद पृष्ठभूमि + हल्के बाल

- सफ़ेद पृष्ठभूमि + गहरे बाल

- बेज रंग की पृष्ठभूमि + हल्के बाल

- बेज रंग की पृष्ठभूमि + गहरे बाल","Selecciona uno o más colores de cabello para la modelo.
IMPORTANTE: Seleccionar varias opciones en varias secciones multiplica el número de fotos. Por ejemplo, si seleccionaste un fondo blanco y beige + cabello claro y oscuro = 4 fotos:
- Fondo blanco + cabello claro

- Fondo blanco + cabello oscuro

- Fondo beige + cabello claro

- Fondo beige + cabello oscuro"
settings_intro_single,"Вы загрузили {count} вещь. Далее вы сможете выбрать фон, пол, возраст и цвет волос модели, соотношение сторон и стиль фото на выходе.","You've uploaded {count} items. Next, you'll be able to choose the background, gender, age, and hair color of the model, as well as the aspect ratio and style of the final photo.",您已上传 {count} 件商品。接下来，您可以选择模特的背景、性别、年龄和发色，以及最终照片的宽高比和风格。,"आपने {count} आइटम अपलोड कर दिए हैं। अब आप मॉडल का बैकग्राउंड, लिंग, उम्र और बालों का रंग, साथ ही अंतिम फ़ोटो का आस्पेक्ट रेशियो और स्टाइल चुन सकेंगे।","Has subido {count} elementos. A continuación, podrás elegir el fondo, el género, la edad y el color de pelo de la modelo, así como la relación de aspecto y el estilo de la foto final."
settings_style_title,Выберите один или несколько стилей фото,Select one or more photo styles,选择一种或多种照片样式,एक या अधिक फोटो शैलियाँ चुनें,Seleccione uno o más estilos de fotografía
start_title,"Добро пожаловать в AI models Bot!
Здесь вы можете моментально превратить фото одежды в готовый к продаже каталог профессиональных снимков на красивых моделях любых полов и возрастов в разрешении 4K.

Количество доступных Вам бесплатных генераций для старта: {free_generations}
Далее: {price} ₽ каждая

Мы принимаем Фото с вашей одеждой:
1. На человеке
2. На манекене
3. Лежащей на нейтральном фоне, либо висящей на вешалке.
","Welcome to AI models Bot!
Here you can instantly turn clothing photos into a ready-to-sell catalog of professional shots on beautiful models of any gender and age in 4K resolution.

Number of free generations available to you to get started: {free_generations}
Next: {price} ₽ each

We accept photos of your clothing:
1. On a person
2. On a mannequin
3. Lying against a neutral background or hanging on a hanger.
","欢迎使用 AI 模型机器人！

在这里，您可以立即将服装照片转换成可供销售的专业模特展示图册，模特年龄和性别不限，模特均为 4K 高清画质。

免费生成次数：{free_generations}

后续：{price} ₽/次

我们接受以下类型的服装照片：

1. 真人穿着

2. 模特穿着

3. 平铺在纯色背景前或悬挂在衣架上。

","एआई मॉडल्स बॉट में आपका स्वागत है!
यहाँ आप कपड़ों की तस्वीरों को तुरंत एक तैयार कैटलॉग में बदल सकते हैं, जिसमें किसी भी लिंग और उम्र के खूबसूरत मॉडलों की 4K रेज़ोल्यूशन वाली पेशेवर तस्वीरें होंगी।

शुरुआत करने के लिए उपलब्ध मुफ्त जेनरेशन की संख्या: {free_generations}
अगली जेनरेशन: {price} ₽ प्रति जेनरेशन

हम आपके कपड़ों की तस्वीरें स्वीकार करते हैं:
1. किसी व्यक्ति पर पहने हुए
2. किसी पुतले पर पहने हुए
3. किसी सादे बैकग्राउंड पर रखे हुए या हैंगर पर लटके हुए।

","¡Bienvenido a AI Models Bot!
Aquí puedes convertir al instante tus fotos de ropa en un catálogo de fotos profesionales de modelos de cualquier género y edad, listas para vender, en resolución 4K.

Número de generaciones gratuitas disponibles para empezar: {free_generations}
Siguiente: {price} ₽ cada una

Aceptamos fotos de tu ropa:
1. En una persona
2. En un maniquí
3. Sobre un fondo neutro o colgada en una percha."
style_need_one,"Выберите хотя бы один стиль, чтобы продолжить.",Please select at least one style to continue.,请至少选择一种样式继续。,आगे बढ़ने के लिए कृपया कम से कम एक शैली का चयन करें।,Seleccione al menos un estilo para continuar.
style_selected_header,Выбранные стили:,Selected styles:,精选款式：,चयनित शैलियाँ:,Estilos seleccionados:
task_queued,"Задача поставлена в очередь (ID: {task_id}).
Идёт обработка на сервере нейросети.","The task has been queued (ID: {task_id}).
Processing is in progress on the neural network server.","任务已加入队列（ID：{task_id}）。

神经网络服务器正在处理该任务。","कार्य को कतार में डाल दिया गया है (आईडी: {task_id})।
न्यूरल नेटवर्क सर्वर पर प्रोसेसिंग जारी है।",La tarea se ha puesto en cola (ID: {task_id}). El procesamiento está en curso en el servidor de red neuronal.
unknown_lang,Неизвестный язык. Попробуйте ещё раз.,Unknown language. Please try again.,语言未知。请重试。,यह भाषा अज्ञात है। कृपया पुनः प्रयास करें।,Idioma desconocido. Inténtalo de nuevo.
upload_doc_only,"Пожалуйста, отправьте фото как документ в оригинальном качестве (без сжатия).",Please send the photo as a document in original quality (uncompressed).,请以文档形式发送原始质量（未压缩）的照片。,कृपया फोटो को मूल गुणवत्ता (बिना संपीड़ित किए) में दस्तावेज़ के रूप में भेजें।,Por favor envíe la foto como documento en calidad original (sin comprimir).
upload_doc_wrong_type,"Это не похоже на изображение. Пожалуйста, отправьте фотографию одежды как документ (файл).",This doesn't look like the image. Please send a photo of the garment as a document (file).,这件衣服看起来和图片不符。请将衣服的照片以文档（文件）的形式发送给我。,यह तस्वीर से मेल नहीं खाता। कृपया कपड़े की एक तस्वीर दस्तावेज़ (फ़ाइल) के रूप में भेजें।,"Esto no se parece a la imagen. Por favor, envíe una foto de la prenda como documento (archivo)."
upload_intro_full,"<b> Загрузите фотографии вещей, которые хотите надеть на модель. <b>
(далее - текст)
Шаг 1: Изучите рекомендации.
- Обрежьте фото: Оставьте минимум лишнего помимо нужной вам одежды.
- На фото не должно быть лиц и голов людей/манекенов.
- Чем выше разрешение фотографии - тем лучше результат.
- Не рекомендуем использовать для отображения сложной металической фурнитуры.
Отображение одежды на молниях может потребовать больше попыток.
Шаг 2: Выберите тип загружаемой вами фотографии и нажмите на кнопку:
- Фото одежды: Одежда лежит или весит на вешалке

- Фото на человеке: Одежда надета на человека, фото обрезано так, что на нем нет лица и
минимум лишних элементов.
- Фото на манекене: Одежда на манекене, на фото нет головы манекена и минимум
лишнего.
Шаг 3: Загрузите фотографию одной или нескольких вещей
Важно: Каждое загруженное фото считается как отдельная вещь.","<b> Upload photos of the items you want the model to wear. <b>
(hereinafter referred to as text)
Step 1: Review the guidelines.
- Crop the photo: Leave as little excess as possible besides the clothes you want.
- The photo should not contain faces or heads of people or mannequins.
- The higher the photo resolution, the better the result.
- We do not recommend using it to display complex metal hardware.
Displaying clothes with zippers may require more attempts.
Step 2: Select the type of photo you are uploading and click the button:
- Photo of clothes: Clothes lying down or hanging on a hanger.

- Photo of a person: The clothes are being worn by a person, cropped to remove the face and minimize unnecessary elements.
- Photo of a mannequin: The clothes are being worn on a mannequin, the photo should be free of the mannequin's head and contain as little excess as possible.
Step 3: Upload a photo of one or more items.
Important: Each uploaded photo is counted as a separate item.","<b>上传您希望模特穿着的服装照片。<b>

（以下简称“文字”）

步骤 1：阅读指南。

- 裁剪照片：除了您想要展示的服装外，尽量减少照片中的多余部分。

- 照片中不应包含人脸或模特的头部。

- 照片分辨率越高，效果越好。

- 我们不建议用于展示复杂的金属配件。

展示带有拉链的服装可能需要更多尝试。

步骤 2：选择您要上传的照片类型并点击按钮：

- 服装照片：服装平铺或挂在衣架上。

- 人物照片：服装由真人穿着，裁剪掉人脸并尽量减少不必要的元素。

- 模特照片：服装由模特穿着，照片中应不包含模特的头部，并尽可能减少照片中的多余部分。

步骤 3：上传一张或多件服装的照片。

重要提示：每张上传的照片都算作一个单独的项目。","<b> मॉडल को पहनाए जाने वाले कपड़ों की तस्वीरें अपलोड करें। <b>
(इसके बाद इसे टेक्स्ट कहा जाएगा)
चरण 1: दिशा-निर्देशों की समीक्षा करें।

- फ़ोटो क्रॉप करें: कपड़ों के अलावा जितना हो सके कम अतिरिक्त भाग छोड़ें।

- फ़ोटो में किसी व्यक्ति या पुतले का चेहरा या सिर नहीं होना चाहिए।

- फ़ोटो का रिज़ॉल्यूशन जितना अधिक होगा, परिणाम उतना ही बेहतर होगा।

हम जटिल धातु के हार्डवेयर को प्रदर्शित करने के लिए इसका उपयोग करने की सलाह नहीं देते हैं।
ज़िपर वाले कपड़ों को प्रदर्शित करने के लिए अधिक प्रयास करने पड़ सकते हैं।
चरण 2: अपलोड की जाने वाली फ़ोटो का प्रकार चुनें और बटन पर क्लिक करें:
- कपड़ों की फ़ोटो: कपड़े लेटे हुए या हैंगर पर लटके हुए।

- व्यक्ति की फ़ोटो: कपड़े किसी व्यक्ति द्वारा पहने हुए हैं, फ़ोटो को क्रॉप करके चेहरा हटा दिया गया है और अनावश्यक तत्वों को कम किया गया है।

- पुतले की फ़ोटो: कपड़े पुतले पर पहने हुए हैं, फ़ोटो में पुतले का सिर नहीं होना चाहिए और जितना हो सके कम अतिरिक्त भाग होना चाहिए।

चरण 3: एक या अधिक वस्तुओं की फोटो अपलोड करें।
महत्वपूर्ण: अपलोड की गई प्रत्येक फोटो को एक अलग वस्तु माना जाएगा।","Sube fotos de las prendas que quieres que la modelo use.
(en adelante, ""texto"")
Paso 1: Revisa las instrucciones.
- Recorta la foto: Deja la menor cantidad posible de elementos sobrantes, además de la ropa que deseas.
- La foto no debe mostrar rostros ni cabezas de personas ni maniquíes.
- Cuanto mayor sea la resolución de la foto, mejor será el resultado.
- No recomendamos usarla para mostrar piezas metálicas complejas.
Mostrar ropa con cremalleras puede requerir más intentos.
Paso 2: Selecciona el tipo de foto que vas a subir y haz clic en el botón:
- Foto de ropa: Ropa tendida o colgada en una percha.

- Foto de una persona: La ropa está siendo usada por una persona, recortada para eliminar el rostro y minimizar los elementos innecesarios.
- Foto de un maniquí: La ropa está siendo usada por un maniquí; la foto debe estar libre de la cabeza del maniquí y contener la menor cantidad de elementos sobrantes posible.
Paso 3: Sube una foto de una o más prendas. Importante: Cada foto cargada se cuenta como un elemento separado."
variant_result,Результат генерации:,Generation result:,生成结果：,उत्पादन परिणाम:,Resultado de la generación:
yookassa_check_error,"❌ Ошибка при проверке платежа.
Попробуйте позже.","❌ Error verifying payment.
Try again later.","❌ 付款验证出错。

请稍后再试。","❌ भुगतान सत्यापित करने में त्रुटि।
कृपया बाद में पुनः प्रयास करें।",❌ Error al verificar el pago. Inténtalo de nuevo más tarde.
yookassa_checking,Проверяем статус платежа...,Checking payment status...,正在查询付款状态……,भुगतान की स्थिति की जाँच की जा रही है...,Comprobando el estado del pago...
yookassa_not_configured,❌ Оплата через YooKassa временно недоступна,❌ Payment via YooKassa is temporarily unavailable.,❌ YooKassa支付功能暂时无法使用。,❌ YooKassa के माध्यम से भुगतान फिलहाल अनुपलब्ध है।,❌ El pago a través de YooKassa no está disponible temporalmente.
yookassa_payment_created,"🧾 <b>Платеж создан!</b>

💰 Сумма: {amount} {currency}
📝 Описание: {description}
🆔 ID платежа: <code>{payment_id}</code>

Нажмите кнопку ниже для перехода к оплате.","🧾 <b>Payment created!</b>

💰 Amount: {amount} {currency}
📝 Description: {description}
🆔 Payment ID: <code>{payment_id}</code>

Click the button below to proceed with payment.","🧾 <b>付款已创建！</b>

💰 金额：{amount} {currency}

📝 描述：{description}

🆔 付款 ID：<code>{payment_id}</code>

点击下方按钮继续付款。","🧾 <b>भुगतान हो गया!</b>

💰 राशि: {राशि} {मुद्रा}
📝 विवरण: {विवरण}
🆔 भुगतान आईडी: <code>{payment_id}</code>

भुगतान करने के लिए नीचे दिए गए बटन पर क्लिक करें।","🧾 ¡Pago creado!

💰 Importe: {amount} {currency}
📝 Descripción: {description}
🆔 ID de pago: <code>{payment_id}</code>

Haz clic en el botón de abajo para continuar con el pago."
yookassa_payment_error,"❌ Ошибка при создании платежа.
Попробуйте позже.","❌ Error creating payment.
Try again later.","❌ 创建付款时出错。

请稍后重试。","❌ भुगतान करने में त्रुटि हुई।
कृपया बाद में पुनः प्रयास करें।",❌ Error al crear el pago. Inténtalo de nuevo más tarde.
yookassa_status_canceled,❌ Платеж отменен,❌ Payment canceled,❌ 付款已取消,❌ भुगतान रद्द कर दिया गया,❌ Pago cancelado
yookassa_status_pending,⏳ Платеж ожидает оплаты,⏳ Payment is awaiting payment,⏳ 款项待付,⏳ भुगतान की प्रतीक्षा है,⏳ El pago está pendiente de pago
yookassa_status_succeeded,"✅ <b>Платеж успешно завершен!</b>

💰 Сумма: {amount} {currency}
🆔 ID платежа: <code>{payment_id}</code>

Спасибо за оплату! Баланс обновлен.","✅ <b>Payment completed successfully!</b>

💰 Amount: {amount} {currency}
🆔 Payment ID: <code>{payment_id}</code>

Thank you for your payment! Your balance has been updated.","✅ <b>付款已成功完成！</b>

💰 金额：{amount} {currency}

🆔 付款 ID：<code>{payment_id}</code>

感谢您的付款！您的余额已更新。","✅ <b>भुगतान सफलतापूर्वक पूरा हो गया!</b>

💰 राशि: {amount} {currency}
🆔 भुगतान आईडी: <code>{payment_id}</code>

आपके भुगतान के लिए धन्यवाद! आपका बैलेंस अपडेट कर दिया गया है।","✅ <b>¡Pago completado correctamente!</b>

💰 Importe: {amount} {currency}
🆔 ID de pago: <code>{payment_id}</code>

¡Gracias por su pago! Su saldo se ha actualizado."
yookassa_status_waiting,⏳ Платеж ожидает подтверждения,⏳ Payment is awaiting confirmation,⏳ 付款待确认,⏳ भुगतान की पुष्टि प्रतीक्षित है,⏳ El pago está pendiente de confirmación
select_tariff,💳 Выберите желаемый тарифный план.,💳 Select the desired tariff plan.,💳 选择所需的资费套餐。,💳 अपनी पसंद का टैरिफ प्लान चुनें।,💳 Selecciona el plan tarifario deseado.
btn_back_to_start,Назад,Back,后退,पीछे,Atrás
